Date,TempAvg_C,TempMax_C,TempMin_C,Humidity_%,Precip_mm,Wind_kph,Conditions
2024-07-01,32.1,35.2,29.0,73,0.0,11.2,Partially cloudy
2024-07-02,32.8,36.0,30.8,71,0.0,14.8,Partially cloudy
2024-07-03,29.5,34.0,25.5,87,9.75,14.8,"Rain, Partially cloudy"
2024-07-04,28.6,31.3,26.0,90,0.99,11.2,"Rain, Partially cloudy"
2024-07-05,29.6,32.4,28.0,87,0.51,18.4,"Rain, Partially cloudy"
2024-07-06,29.7,33.8,28.0,85,0.03,14.8,"Rain, Partially cloudy"
2024-07-07,29.8,34.5,26.9,76,0.0,18.4,Partially cloudy
2024-07-08,28.3,31.1,26.0,83,0.0,18.4,Partially cloudy
2024-07-09,29.6,32.0,27.9,87,27.57,18.4,"Rain, Partially cloudy"
2024-07-10,30.8,36.0,28.0,85,12.24,14.8,"Rain, Partially cloudy"
2024-07-11,33.4,38.1,28.3,73,4.25,11.2,"Rain, Partially cloudy"
2024-07-12,31.4,33.8,29.0,65,0.0,16.6,Partially cloudy
2024-07-13,30.3,35.0,27.0,78,19.91,11.3,"Rain, Partially cloudy"
2024-07-14,32.3,35.6,28.9,73,0.0,13.0,Partially cloudy
2024-07-15,31.3,34.0,25.0,79,7.33,14.8,"Rain, Partially cloudy"
2024-07-16,33.2,37.4,30.0,74,0.0,18.4,Partially cloudy
2024-07-17,32.7,36.0,30.9,77,0.0,14.7,Partially cloudy
2024-07-18,31.0,35.6,26.0,84,4.15,18.4,"Rain, Partially cloudy"
2024-07-19,31.5,35.0,28.2,83,0.0,14.8,Partially cloudy
2024-07-20,32.4,36.9,28.0,75,0.0,11.2,Partially cloudy
2024-07-21,32.6,36.0,29.4,77,5.96,20.5,"Rain, Partially cloudy"
2024-07-22,30.9,35.3,27.6,85,27.71,16.6,"Rain, Partially cloudy"
2024-07-23,31.4,34.7,28.8,84,1.04,11.2,"Rain, Partially cloudy"
2024-07-24,30.0,33.0,26.0,88,32.56,14.8,"Rain, Partially cloudy"
2024-07-25,31.2,35.6,27.5,84,9.36,9.4,"Rain, Partially cloudy"
2024-07-26,30.9,33.0,27.1,86,32.46,11.2,"Rain, Partially cloudy"
2024-07-27,31.3,35.0,29.0,86,0.0,16.6,Partially cloudy
2024-07-28,33.0,37.0,28.8,75,0.03,14.8,"Rain, Partially cloudy"
2024-07-29,33.6,37.5,30.0,71,0.0,16.6,Partially cloudy
2024-07-30,34.4,39.0,31.0,69,0.0,13.0,Partially cloudy
2024-07-31,31.9,37.0,25.5,79,89.37,18.4,"Rain, Partially cloudy"
2024-08-01,28.8,32.5,25.0,86,12.66,11.2,"Rain, Overcast"
2024-08-02,29.7,32.5,27.5,86,3.04,13.0,"Rain, Partially cloudy"
2024-08-03,30.3,34.2,28.0,82,0.37,16.6,"Rain, Partially cloudy"
2024-08-04,30.5,34.5,27.4,78,4.4,18.4,"Rain, Partially cloudy"
2024-08-05,30.0,32.2,28.0,80,0.0,20.5,Partially cloudy
2024-08-06,30.0,33.7,27.0,80,0.0,13.0,Partially cloudy
2024-08-07,28.1,30.8,26.9,93,19.17,11.2,"Rain, Overcast"
2024-08-08,28.5,32.9,26.0,90,9.57,18.4,"Rain, Overcast"
2024-08-09,29.0,33.9,27.0,89,18.94,13.0,"Rain, Partially cloudy"
2024-08-10,28.9,31.5,27.0,90,0.88,13.0,"Rain, Partially cloudy"
2024-08-11,27.3,29.3,25.0,94,31.0,14.8,"Rain, Overcast"
2024-08-12,27.5,29.0,26.0,95,16.2,13.0,"Rain, Partially cloudy"
2024-08-13,28.7,32.0,26.0,91,56.82,14.8,"Rain, Partially cloudy"
2024-08-14,30.6,34.8,27.9,84,0.0,14.8,Partially cloudy
2024-08-15,29.9,33.0,27.0,90,12.91,18.4,"Rain, Partially cloudy"
2024-08-16,30.0,34.3,27.0,86,8.51,16.6,"Rain, Partially cloudy"
2024-08-17,30.2,34.0,28.0,84,1.64,11.2,"Rain, Partially cloudy"
2024-08-18,30.7,33.6,28.0,81,0.0,16.6,Partially cloudy
2024-08-19,30.9,34.5,28.0,79,0.0,14.8,Partially cloudy
2024-08-20,28.6,32.2,25.4,86,1.0,18.4,"Rain, Partially cloudy"
2024-08-21,30.4,35.5,27.0,77,0.0,13.0,Partially cloudy
2024-08-22,31.0,35.8,28.0,76,3.4,13.0,"Rain, Partially cloudy"
